feature,mean_abs_shap
value_lag_1,16.398573
value_diff_24h,13.674102
value_lag_24,13.553212
hour_cos,0.6293396
value_rolling_max_24h,0.5470106
value_rolling_mean_24h,0.36676696
is_peak_morning,0.3091549
month_sin,0.27848658
hour_sin,0.23408014
value_rolling_min_24h,0.2049638
hour,0.18484913
temperature_lag_24,0.14276953
value_rolling_std_24h,0.13249904
is_peak_evening,0.12665261
value_lag_168,0.121206
temperature_lag_1,0.11681687
temperature,0.10346608
month_cos,0.09825557
wind_speed,0.08940957
day_of_week,0.07427678
month,0.06732243
dow_sin,0.0254785
is_holiday,0.018679596
dow_cos,0.013312432
wind_speed_squared,0.007826934
is_pre_holiday,0.006870454
is_weekend,0.0007322987
